Message,Reply
"I have no idea, please message Cindy to ask 
I'll look at it properly in about 30 mins
Must be a mistake, Dan's says the full amount",I’ve sent a message
Good luck for tomorrow ,Thanks mom
Free to talk?,I can in about an hour if that works?
Perfect,Does now work ?
Let me know how he is if you do pls,"I messaged him to ask him how it was going earlier nd just said that it wasn’t going great
Offered to go buy him some food or drinks or anything and said he was fine"
He spoke to us for about 45 mins. I don't actually know what to do anymore.,What did he say?
"He's failed at all the goals he has set himself.
Then Dad gets cross and says the meds are all wrong and what he's on would work for Dan
I swear I just want to cry",Do you think he actually knows nothing or just very stressed?
Hope you are still chilling a bit,I have been thanks
"Hello my boy, hope your work is going well. Love ya","We can catch up on a call?
Is dad there?"
"He's cycling in the outside room
I'll let you know when he's done?",Sounds good
Nicola wants to know if she can pay you to feed her cats from the 10th til the 27th of Dec (just once a day)?,"Happy to
I don’t want money"
Check out this property I found on Property24! https://www.property24.com/to-rent/paradyskloof/stellenbosch/western-cape/8540/113915827?utm_source=whatsapp,Can I call?
For your flight home:,"I assume the one on the second isn’t at the same time as you guys so doesn’t make a difference ?
Then probably the one on the 3rd"
"Our one is more expensive now but that really isn't an issue. If you want to, would love to have us all together. ","No im happy for the 3rd
Thanks mom"
 which of the times?,"3.10 please
Thanks mom
Sorry was playing tennis"
No stress ,Thanks mom
"No, I'll send it. Or even through dad's office courier",Thanks mom
Also want your Wilson bag and the tennis balls that are in it?,"No I’m quite happy with just the racket
Whatever is easiest to send"
Fleur packaged it for you...I just stuck plastic around it...,"Very nice
Thanks mom"
"That's totally fine
Do you want to book and I'll pay you back?",What would be easiest?
So 16.40 on the 28th?,Yes thanks mom
Cool. I've asked Faith to resend her ID cos it's been deleted off my Flysafair app,Thank you mom !!
Do you want an advent calendar??,Thanks for the offer
Good luck for tomorrow ,Thanks mom
"What time do you write tmw?
I believe Mary has just had an op for skin cancer. Is Faith ok?","You guys free to call
?"
Can we phone in 15?,Yep
Good luck ,Thanks mom
Can I phone just now?,Yep
Dan booked for 3.5 hours,Cool cool
How's it going?,"Not bad
Dan should be done in time"
I'm going to shower and then I'll head to you guys,"No take your time
Should be done soonish"
She's using Dan's mop for inside.,On way back
"Aah no. It was Sweepsouth, they did wash the walls. I didn't think to check the blinds
Fyi...
OK thanks very much. I did ask the boys to send them but I don't think they have been generated yet with it being Saturday. Will follow up.","Thanks for sorting that out mom
I don’t think I have an invoice"
"Dan doesn't yet either. It'll pbably come tmw or Mon
How you feeling?",How you doing?
Soooooooo tired,What time do we have to be at you tmrw
About 8 50,Here
Please let me rather get uber to the airport tmw. As it is you are helping sort Daniel's car later in the morning.,"You sure?
Would it not be easier for me to drop you guys off?"
"Very sure
You are looking exhausted
There is a woolies bag of yours here (flyswatter and don't know what else in it). If you are going to gym, maybe come past and get it?",Is this all good?
"Maybe date it?
Or wait til these come out and do 1st year and second year?
Really good though
You will also need to get Daniel's car keys","I’ve already sent it to Miguel
You think it’s fine enough to not change?"
"I think it's more than fine enough
It shows who you are and what you've achieved.
More for future. I really like it","I forgot to come past you on way back
Is it fine if I come later?"
You haven't forgotten?,Can I come at 18:45?
Perfect,"On way
Here"
"K, coming",Assuming you got there?
"Yes, in security queue. How was your sleep?
Car crowd won't take packed car. Trying to make arrangements","That’s crazy
We could pack dans stuff into my car and then I could drive down to joburg?"
"Dad will never let you
I've sent lots of queries out 
He suggested putting Dan's stuff into storage but let's see the responses
I wouldn't want you to either
Too long on your own",What time is the super wuick guy supposed to get here?
"9....I'll msg him
OK, thanks. Good news. What time should I tell my son, he is waiting there?
For you to be there at 10?","What
How can they change time by an hour"
"Cos they are idiots
Could you get there earlier? He is there already
just sent this",Thanks for sorting this out mom
Sorry,"Is their number that one you send me ?
Cos I can message him so you don’t have to worry about it"
"Do you think I could pay Faith (and her transport) to be there on Mon 9th?
Unstable connection",I’m very happy to help sort car stuff out so don’t feel bad about making me run around
"Yes, or Nicholas can use his card. I believe he has messaged you?
I'm boarding my flight. Pls contact Nicholas.","I paid on cash
It’s done"
"Thank you!!!!!!!! How much was it?
The car started?","I didn’t try
Should I try quick
Yea it started
Everything seems good"
"I've copied you and Dad in on a mail that is a possibility for the car transport
Dan says thanks
Tanzin might be able to help next week","Ok cool Fath also said she’d be very happy to help
And she should be here for the next bit"
What does Faith want for Christmas? Cash?,She doesn’t really want anything specific
Do you have a charger on you?? Otherwise go get a printed boarding pass...,"I do have a charger
I assume there are charging stations somewhere?"
"How are you??
Maybe get a printed boarding pass in case",Relearning manual was the hardest part
"How was the drive?

Ostrich burgers tonight? Or something else?",But still need it to get onto the plane
Happy flying ,Thanks mom
" let me know when you get to the luggage place and I'll leave
Leaving now. Let me know your pillar number","Got it
On my way"
 he says he doesn't want to be paid,"When do you want to go to Nicola?
When works for you?"
Has she sent a msg to you?,"Yes
She asked when it would work for us to come"
Authorisation was approved for NICHOLAS JAMES MOSTERT. Auth #:005900312. Profmed rules and benefits apply. For more info: 0860 776 363. Automated SMS-Do Not Respond,are the pain killers drowsey ones? or dont know?
Pls tell Flora she can come and get the vacuum cleaner if she wants,"Can you send your id number
For medical aid"
Pls will you check to see if your deposit had been returned?,It hasn’t
"* You're Invited! *  
* You're Invited! *  "," You're Invited! 
 You're Invited! "
 You're Invited! ,"Going to neighbourhood
For lunch"
Still here?,"Yes, you here too?"
Need a lift or you good?,Good on way back now
This might come for me here but I don't think so cos asked for it to be left at their collection point,Ok cool 
Do we have power?,"No
Hadn’t noticed"
Got the cables?,Cables?
"Daniel arrives back from China on Monday so that will be difficult. Tuesday? Or is that too late?
I think so too!! 
 what sort of time would work? 11?","Sounds good
Good idea"
Pls send Faith's banking details,"Faith is contributing to your present by the way
Forgot to mention"
Thanks. Even with the agents commission taken off I can't see that coming down to a doable rate ,That’s very expensive
Yep,Damn
"I found this 1 Bedroom Apartment / Flat on Property24. Check it out: https://www.property24.com/to-rent/stellenbosch-central/stellenbosch/western-cape/8566/111522835
I found this 1 Bedroom Apartment / Flat on Property24. Check it out: https://www.property24.com/to-rent/dennesig/stellenbosch/western-cape/8529/112004017
I found this 0 Bedroom Apartment / Flat on Property24. Check it out: https://www.property24.com/to-rent/techno-park/stellenbosch/western-cape/12985/115321016
I found this 1 Bedroom Apartment / Flat on Property24. Check it out: https://www.property24.com/to-rent/onder-papegaaiberg/stellenbosch/western-cape/8539/115245689
https://www.privateproperty.co.za/apartments-to-rent/stellenbosch/712",What did you want from Paul again?
Nicola still wants you to feed cats today and tmw if you can,"Okay cool
Why? They not coming home?
On way back"
"She gave me the wrong dates I assume?
So Faith will meet the cats...",Very cool
https://www.sahometraders.co.za/1-bedroom-apartment-flat-to-rent-in-raithby-115368195,"Going to shower and then look
Thanks mom"
"https://www.gumtree.co.za/a-house-rentals-flat-rentals-offered/stellenbosch/1-bedroom-garden-cottage-to-let-in-simonswyk/10013067389641012946860809
https://www.gumtree.co.za/a-house-rentals-flat-rentals-offered/stellenbosch/one-bedroom-flat-for-rent-in-stellenbosch-central-from-january/10013071786361013369947509?utm_source=whatsapp&utm_medium=social&utm_campaign=socialbuttons",https://www.gumtree.co.za/a-house-rentals-flat-rentals-offered/stellenbosch/one-bedroom-flat-for-rent-in-stellenbosch-central-from-january/10013071786361013369947509
https://www.sahometraders.co.za/1-bedroom-apartment-flat-to-rent-in-die-boord-115374047?utm_source=alert&utm_medium=email&utm_campaign=portalemailalerts,What time are we leaving for red barn?
It is free pitch and play today,Do you want to?
I'm happy to but also fine not to. What do you 2 want?,Same as you. Happy to do it but also happy to not…
So let's go,What time you want to go??
1?,"Cool
Sounds good"
Which place?,"The three bedroom
I’ll send the link
Hi Nicholas Mostert, thank you for your enquiry regarding the property in Nuutgevonden. https://www.property24.com/to-rent/nuutgevonden/stellenbosch/western-cape/14263/115381393"
Someone just sent this to Liesl,what time should I book paddle?
"Thanks. I'm output I've sent it to him
Thanks Liesl, pls will you send me the contact details when you have a chance
Sorry  I was being blonde. I see it now...
So it's in Liesl and Michael's area",What do you think about it??
"Not sure. I would maybe message them, ask for a video. Ask re what's included etc. Parking?
Does look small
And no oven
And no washing machine
All of which could complicate your life","But it is a very good price
But yes I agree"
"I also don't see cupboard space
You spend a lot of time working where you live and I think you would get depressed here. I don't think it's worth your mental health","I don’t think I will spend a lot of time there this year though
Will spend close to half of the time at faith and then on campus potentially"
"OK, well ask for a video and see what's included
I've left my car there for you guys.","How do you spell Liezel
Like that ?"
"Thanks, he has messaged them",https://www.property24.com/to-rent/brandwacht/stellenbosch/western-cape/10436/115397685?uaid=42390694&utm_source=alert&utm_medium=email&utm_campaign=portalemailalerts
"Nice!!!
Message them!!
Actually phone them
And Liesl can go look for you",ive sent a message
"What is your medication called?
So I can order it","Venlor
Thanks mom"
"I found this 2 Bedroom Apartment / Flat on Property24. Check it out: https://www.property24.com/to-rent/stellenbosch-central/stellenbosch/western-cape/8566/110999289
https://www.sahometraders.co.za/apartment-flat-to-rent-in-stellenbosch-central-114987571",Thanks mom
https://www.privateproperty.co.za/to-rent/western-cape/boland/stellenbosch/stellenbosch-central/RR3580713,https://www.property24.com/to-rent/newinbosch/stellenbosch/western-cape/33422/115235068
https://www.sahometraders.co.za/2-bedroom-apartment-flat-to-rent-in-newinbosch-115234893,"https://www.takealot.com/apple-iphone-13-128gb-pristine-like-new-sns-charging-cable/PLID95334293?colour_variant=Green
second hand
or returned"
"That looks really nice. I'll add it to my wishlist, will do accounts this week and see what I've got.","I’m up if you need
I assume you speaking to the lady?"
"Newmarket day clinic
Newmarket Day Hospital",Thanks mom
Leaving Bennies now,17 Wald Avenue 
"Edenvale 1609
Just add that",Perfect thanks mom. Will do now now
Lease has been signed and sent through,"Very exciting
Thank you mom
I’m going with Dan to Nando’s and faith is staying here"
"When you're awake, pls can I have my car keys","I need to email Vanessa from discovery
Just sending msg so I remember"
So both are good,Okay cool thanks mom
"No pblm, didn't want to msg on the weekend! ","Ok cool cool
Thanks for sorting that out mom"
Got it?,"Yes thanks
Thursday at 3
Is the checkup"
I think I've left the laundry door open. Pls will you close it later,Will do
Pls come chat when you're free. No rush. Re your 21st,"Getting your car washed
I was convinced by the car people"
 thank you,"Do we have the lease?
Sorry couldn’t answer phone. Thank you mom that’s perfect
Goodluck for the day"
Sheets and pillowcases folded in your room...clean or used?,"Clean
Forgot to put them on "
"Oh my...Dan says Dad is spouting fascist rhetoric. Dad says Dan is ultra woke
Fun fun fun
So I've moved to the study. Too tired for this...
Proper argument going on","Oh my gosh
Took one whole day
Don’t know why they both care so much"
"Seriously, the pair of them are going to drive me insane
How's the packing going?
Temporary reprieve cos Noel phoned Dad",How’s work today ?
"I think the 36671....
I'll check our serial number
Says Sn...ours is 11 digits though",Thanks mom. I also think it’s that. Doesn’t seem to be working with the registration though.
"Dbl check with Jean tmw
And if you do 001 in front?","just tried. still not working, thanks for the help mom. will check with jean tmrw"
Did you send Jean the POP?,"Okay cool thanks mom
Goodluck for work"
And????,"Will let you know now
Just moving things in
All good"
They want you to have all your stuff downstairs and ready to load on the truck by 9.30 at the latest is my understanding. That's what I eventually said anyway.,"T104 right?
I forgot the keys so will need to cut it open
Just making sure it is t104?"
I'll check,Invoice says T105
"Then it's T105
Maybe run back and get the key",Okay cool thanks
Yes T105,Sorry can’t answer
Might take longer to cut then to get the key,They’ve got the grinder already. Will pay for the lock if you wanted it back
"Flip, you 2 must be tired!","So tired
And still so much to go"
Shame man!!!!!,But excited now that everything is here
"But everything is at least moved in. And you've got the week. Don't push too much
Hopefully this weekend in Hout Bay will be a bit relaxing
Dad has been out cycling in case you think I'm replying to someone sitting next to me by text
Was your car a mission to sort?",Maybe I’ll call in a bit to catch up?
I'll phone later. All good?,"Yeah all good. Just updating.
I can call in 15 mins l. At gym"
 let me know and I'll phone,I can call now
Was at pilates,"No worries. Was just asking a question about the oven smoking, turns out it’s normal for a new oven"
Did you get the washing machine?,Coming tmrw
"Sooooo exciting!!!
Did you have to pay for transport?","Do we need to keep the cardboard box for the fridge
For the warranty?"
"Confirming you've invited all of these ppl?
And Kian
What time do you want it to start?","Not sure car is still getting washed and haven’t been told a time. Maybe 16:00
If that works"
"No, I meant 21st time. Sorry",Oh hah yes that makes sense. Maybe starting between 15:00 to 17:00? I’m thinking maybe 17:00? What you think?
"Morning, pls confirm numbers from the whatsapp group...and does that include you  Faith and Dan?",Thanks mom
Sent to Jean,"Sounds good
Thank you for the help mom"
"I'll remind him, thanks.",How do you cook all the mince at once? Like what heat and how long ? Thanks
"I try brown as much as possible, so maybe a 3. Then add salt, pepper, herbs, tinned tomatoes and onion and tomato sauce. Stick the lid on, turn down to 2 and let it simmer for maybe 20 to 30 mins depending on how much there is. Stir/mix a few times
Then I switch off the plate and leave it on the stove for a bit (keeps simmering that way).",Ok cool thank you mom
Emmanuel,Casa
And?,"Oh yes she did check and it is confirmed
Sorry forgot to tell you
So it is real yes"
Oh thank goodness!!,"Can you bring down the mini router for us when you guys come down
We still don’t have WiFi and I called today and it said that we would only get WiFi in 2 weeks"
Router is in my bag,Thank you mom
"Dan suggested Kian for bins too
Hi, we are still waiting on bins.
I sent this to Jean",Thank you mom
I'm pretty sure Nana and Gapu will want to see your place today...,What time you think they will?
"Don't know, they haven't said anything. 
How are you feeling?
Shame boy
Easier said than done but maybe try let it go for the weekend?",How you guys feeling?
What time are Faith's family coming through?,So will get here around 4 maybe
"I might talk tonight.
Have you asked Jono to bring his speaker?",Yes
Should I maybe uber through to you with Nana and Gapu when they get here?,"Cool sounds good
Would be nice to have you here"
"OK, fab. Should I extend the offer to Warren too?",Yes sure
"You are going to be inundated with ppl today. I'll let you know what's what
What's your address?
I know we'll need codes etc","Newinbosch estate
Hi Visitors Quick Access Code, your visitor pass for Newinbosch Neighbourhood Estate, issued by Nicholas James  Mostert is valid from 2025-02-15 12:13 until 2025-02-15 13:13 for multiple ENTRY/EXIT."
Would Warren need a separate one?,"Yes
I’ll send to him"
Going to head to you after picking up your grandparents at 1,"Hi Day Visitors Quick Access Code, your visitor pass for Newinbosch Neighbourhood Estate, issued by Nicholas James  Mostert is valid from 2025-02-15 13:30 until 2025-02-17 13:30 for multiple ENTRY/EXIT."
Just at gàte,"On way
About 8 mins away"
How are you feeling?,"Been getting a bit worse as the days gone on but hoping to sleep the last bit off
Hope to flight was good"
"Evening Emmanuel. A HUGE thank you to everyone at Casa. The 21st was a such a success. The food, service and attention to detail was fantastic. Please extend our thanks to everyone involved.
sent to Casa
We had a stunning time! Loved sharing the special moments with you all
from Sandy",Thank you mom
"Nope, it has been cold and raining since we got home",Are you guys up?
I've sent the lease to Dad. Just send him the other stuff tmw morning,"Thanks mom, sent it to him already"
Fibre sorted?,Being installed now
Yay!!,You guys want to call?
We will pay you 4 towards your car service. That ok?,Yes perfect thank you guys. You really don’t have to pay…
"Hi Nics, Dan is seeing Dr Smart again today re meds so I wanted to check re yours...",yes definitely feeling better thanks
"What do you think of this dress?
I like it I think. Not just for Warren's theme but generally???
 miss you","Miss you too
Hope work is going well"
"Wow, they still look amazing.",How good is the coffee from the machine?
The one we got is on sale for 5499,Do you think it’s worth it?
Nb rent,Good to know it tastes good
No idea...I'll see what my email says,I checked the email but couldn’t tell if they were saying that you must always email or only if you did pay and they haven’t received it yet and then you email pricing you did
"Believe you are going around buying chocolate bunnies
And not phoning your mother","Haha
Do you want to call now?"
"Is it done?
Eish. At least it's done I suppose","Yes, very happy that it is"
Kelly update...,"You excited to meet her?
How do you feel about it?"
"Hello, just checking, do you think anything is going to be done for Faith's bday? No pressure but we have April things we need to commit to or not.",Will call you about it is 20 ish mins if that okay?
Have you emailed re splitting your course?,"I haven't yet. I want to find out who to email first. apparently there are academic counsellors who help set up your degree if you've failed a module, so might start with them"
"
Man!!!! Cute!!!!","How can I send my prescription to stelkore?
Should I call them to ask?"
So I know it's early but for Faith's bday??,Can I call?
"I'm sure she could.
If not, we could do one as a sublet I assume. Check with Jean first though.","Can I call?
If not at dinner"
Kelly is lovely ,"So glad to hear
She similiar to Dan?"
Aaahhhhh!!!!,Let me know how paddle goes
Will do. Only playing at 4,"Okay cool
How’s the new phone?"
Thurs,would of been nice to be there
"Yes, Dan will take her home tmw and go for lunch with her sister","Yes
Thankfully they didn’t charge anything
Got the full refund for the modules"
"I saw that, just wanted to dbl check they got the modules correct
How are you feeling about it now?
Do you have the couch yet?
And how's my baby?",Morning zoomies
So damn cute!,Have Dan and kelly left?
"Yes, they left around 12.30 and went to the Rosebank market. Now at Kelly",You guys free to call?
Do you want to sell your gaming computer to Adam Scott-Hayward?,"He can have it
I don’t think I could sell it… it’s somewhat old
Would feel bad if it stopped working so rather he can just have it"
"Break an egg into a coffee mug, stab the yolk a few times. Add half a cup of water. Cover the mug. Stick in the microwave for 1 minute. Check. Do another 10 seconds if need be. Awesome poached egg","awesome thanks mom
I might actually try it today a well"
"Jayde says you guys are thinking the 26th for Faith's bday?
And the others?","obviously no pressure, I think its going to be paddle and then food
the other weekends faith has exams"
How busy are you in the week leading up to the 26th of April?,"ive got nothing
so i'm free"
thanks I got this letter now too.,You want to call now?
"You free in 5?
Tmw good too","At the 21st
Will be back a little bit later
Will let you know
Does the evening work?"
"Should do, let us know when you're home ","Just got back
Ready whenever"
Dad sleeping...when he's awake??,"I was thinking that for dads birthday maybe we find a place that you send photos too and then they make a photo album from those photos
and we do family photos and even individual photos of us?"
"So Dad and I will come down on the 24th and stay in Stellies until the 28th. Do a birthday breakfast for me, say goodbye to you guys and then head off to Blouberg or somewhere like that.
Are you guys planning on coming back to Stellies on the 26th after Faith's thingy?","yes sounds good, I would really like that. I assume that means Dan is not coming?"
He is trying to decide. He wants to be there to celebrate with Faith but will be there again mid May,?
"Yep
They went back to her place after Warren's party, came home for a short bit on Fri to get hiking stuff, went back to her. Were with us last night, then lunch at her sister...","jeez
glad to hear its still going as well"
I'm assuming it's easier for you not to join us in Blouberg cos of Faith and Nala?,even if its for a short time
Yes,Attacking faith 
"I'll phone in 5
If that's ok",Yes that works 
Final bit of the money from the varsity,Thank you guys !!
You should receive a code from pudo soon,Yea it does
"OK, so maybe we can bubblewrap it and pudo it?",sounds good 
Lego?,Definitely
Sent to Faith...thought of her...,You get a new one already?
Didn't you write today? How was it?,Yes I did. Went decently thanks
Good luck for tomorrow ,"thanks mom, only writing on Tuesday thankfully."
How was it?,"Went better than I thought it would
Thankfully"
You must still tell me what we owe for meds,Spoilt and weird
This is all I can see.,Thankfully they are running the generator most of the time
Power back on???,Unfortunately not no. But they’ve had the generator on all day so we’ve had power. It’s just the worry of it switching off at any time brings uncertainty
Yebo. On your phone,"I don’t seem to have it any more for some reason
I’ve looked through everything"
"OK no stress, I'll do it",Sorry mom. Thanks
Sawubona,Who’s this?
Qiniso,I think you have the wrong number sorry
Isn't Mbali Ngema?,No sorry
We going to boschendal at 1 tomorrow then some drinks after. Dan said you were busy so don’t stress if you can’t make it,You should go to delapa
You keen for pádel tomorrow?,Yep
"Uh sorry we found someone else
I’m keen to go out and play pádel after tho",So not sure if we’ll be able to
You and faith keen for a wine farm tomorrow?,Yeah for sure
Cool. I’ll book now in a bit then,Sick
You wanna come by my place at like 2:15 or you gonna go straight there?,Anyone else need a lift?
I think we’re good,Who else is coming?
"Kiara, some mates from Eng and possibly Chris. But Chris being Chris is not giving me a straight answer",Would be simpler
Just a heads up. I’m pretty sure my Eng mates are autistic so be prepared for that,That’s my favourite type of Tism
All I’m saying is that if you don’t match that energy. Imma be disappointed,We here
I’m keen to do the braai tomorrow,Sorry kev I’m not feeling to good so might not be able to make it
Cool thanks man,"It’s make testparser
Or something along those lines
It says it in the make file"
Oh yeah I'm dumb thanks,Nah no stress lol
Forgot it was the test one,I did that too
"Oh okay yeah 100%
But I've got the general concept? ","Yes yes
You do"
"About time 
You're a life saver","No wait
No
Token.type won’t return type
It would return tok_int or tok_boolean
If if it’s either of those then you call it"
"Then what is type token for?
But I get what you mean
Yeah I think you can either do it ther le or manually",I think I only did for type and expr
"My head hurts, but I think I'm getting there, was just overcomplicating it ","So ( I think
Tok_lpar"
"If I don't call expect_id(), which they say isn't necessary for the parser in the spec, do I need to get_token() every time there's and <id> or not? Because expect_id() had get_token() in it but I'm not calling it.",Yeah you call expect(TOK_ID) instead of it
"Yo, what does your parse expr look like with type checking? I'm 99% sure I'm doing it right but I'm a bit shady on a few things ","Got too busy of a schedule… so decided to leave it out because we don’t need it for the last hand in
How’s it going?"
"Painfully 
You made the right decision","That part wasn’t too bad
How’d you find it?"
"By fat the easiest one for me so far
Because the documentation amd skeleton code is actually good ","Could you send the style checker your used for the last hand in?
I tried to download the one from SUNLearn but it doesn’t seem to be working"
"I'm using the one from sunlearn
Ill send it to you",Thank you 
"But it reports a bunch or false stuff  I mostly just use it to check for whitespaces
I can email it to you?",Yeah of course
Aight I'll do it now,"Thank Sebastien 
No rush though"
"Okay it sent, lemme know if it works","Just got it 
Thanks bro"
Please call me if they start a tut test ,Ok cool I will
You coming to comp Sci ?,"Nah not today weather was putting me off
You there?"
"Yeah I have, I'm super comfortable with the hamming codes and IEEE 764 and boolean algebra stuff, its just the theory I'm worried about I don't really know what to do there
Cause if he asks super detailed stuff I'm probably not gonna remember everything",You back home?
"Yeah, I'm leaving for gym now",On my way too
"Aight I'm here, I'm by the pull-up bars, just lemme know when you here","Just got here
On my way in"
Cool cool,How was comp sci?
"Dude my codegen got fucked
I don't know how
It all worked when I tested it
Did fine in type checking
I'll still probably pass but we gonna have to work for it
Just need a 75 average for the a1 and a2 and do okay in the assembly tuts and I'll be fine, but gonna be close
I'm just done with this class",I wonder why? What were the errors?
"Dunno, the only comments is style check stuff",Same
"But I got 0 for style
Somehow
Even tho I had no errors on the style checker
Worst case I need to redo next year, it won't add anymore time to my studying but it'll just be a pain","Honestly wouldn’t be surprised
Especially if your stuff worked
There’s very little reason why codegen would work for you but not on tests"
"And Willem was pissed this morning, I think he's been getting kak ton of emails
Idk
How'd yours go?",Nothing amazing better what I expected
"Sat down and redid practical 1, just in case you wanted to take a look at it
Actually so mad that I couldn't figure it out during the prac, but now we know","Oh sick thanks man
You going to the tut
?"
Working for me,"Oh Damn
That’s way simpler than I expected it would be"
"Yeah no same, I was expecting to sit there for 2 hours",How the tuts going?
"Not too bad, did a fair bit of playing around with assembly over the weekend so getting the hang of it. Just looked at tut 6 and 7, 7 will be easy but 6 is gonna take some thinking, won't be too bad tho I don't think
Btw I'm gonna go grab some ice cream at 5:30 for my birthday if you'd like to join :) and you can tell mia and Adrian and everyone else that they're more than welcome to join
Ice cream will be on me btw","I obviously don’t know if it’s gonna work
So maybe I’m speaking to early
Is your birthday today?"
"Ah no stress, we're going to a place called Kristen's btw","We on our way
See you now"
"No worries dude, we gotta grind through this together ","I got half the test cases for binary search
I quickly did it
You want me to send ? Or you done with it?"
"I've got mine working, thanks tho
Yours work 100% now?
I spent an hour trying to debug just to find out my dumbass put a dec instruction instead of inc ",I hate assembly honestly
"Yeahh I get you, we'll get through it tho
I'm gonna head there at 12 already, gonna try get as much done by 5 as possible","Okay awe I’ll actually join you
Just eating quick then I’m gonna go
I’ll see you there"
"Sounds good, see you there","I got tut 6 to work
Mostly
Spend so long fixing seg fault and it was literally just because I was using ebx without preserving it "
How's the a1 mark looking?,"You?
You get your 100?"
You go to gym yet today?,Well done
"I'm just craving social time ngl  ever since I actually started talking to people I feel so shit when I'm not doing it. Anyways if you guys ever go out or do anything and you got an extra spot lemme know, would be sick",How you feeling for your exams?
You?,I start tmrw and then write again on Wednesday but after that I have like 20 something days until the next one
"Ah it's all good dude no stress, had a good time. Yeah for sure that sounds sick, how about tomorrow? I'm happy to train anything",I’m also happy to do anything
"Absolute life saver thank you :)
Imma be at the library tommorow and Tuesday if you wanna join",What time you going to the venue?
"Yoo, how'd the move go?
Just wanted to ask if you know what's going on with comp Sci marks
Cause even tho I'm 99.99% sure I don't have an A3 it would be nice to be 100% sure
My results tab doesn't show the A2 marks
Idk I might be dumb
Absolute genius
I'm so dumb
I'll check just now","I did that too
The only reason I knew to check sun student is because of the WhatsApp group"
"But we chilling
How I passed this module with my project going the way it did I'll never know but fuck it I ain't asking questions",You deserved it though. Biggest academic comeback
"Yo dude, how you feeling for next week?","I don’t feel like going through what I did last semester lol
How about you?
Who’s the girl in your profile photo ??"
"But we have to go gym sometime, you back in stellies yet?","I got back a week and a bit ago
How’s your timetable this semester?"
"Hi there! Yes I do, the micro is a combination of the textbook and slides, and its R60 :)","Cool, I’d like to buy! Thanks"
"Great! I will send you my banking details :)
Account Holder: Miss Kayla Stoffberg
You can send me the proof of payment whenever you are ready :)
Just that you are aware, we did not do chapter 9 for micros last year
Perfect thank you! I'll  send it to you now Just a request I ask everyone, is to please not send the notes to anyone who hasn't bought it directly from me :))
These are notes and memos i took in class, as replacement for the micro section chapter 9 we did not do last year
If any problems arise, please feel free to let me know!",Thank you so much !!
"That is the monetary ecos section
With a few framework questions and solutions
Additional notes I found helpful, to explain core concepts:
Tutorials for the trade section:
And the solutions to the A2 from last year:
These should be all the documents, if any problems arise, please feel free to let me know!! :)
And please do not send these documents to individuals who have not bought them directly from me",Thank you!!!!
"Nick
How is your mathstats mark looking","Actually better than expected
You ????"
"Nah i failed
Gonna have to write A3","Shit
How much are you gonna need to pass the module? A lot higher than 50 or pretty much 50?"
You are so blind ,"Hahaha sorry
My phones WhatsApp cooked so calls don’t come through
And yea I’m blind
Did I walk past you again?"
Yes but if you are persuasive enough i will join yours instead,"Hey Handsome,"
"""Aw, shaddup and listen, pal! I 'preciate the invite to join yer little university project group, but I'm afraid I'm gonna hafta pass. I got other commitments, see? Like takin' care of my own skin, if you catch my drift. Can't be worried 'bout no group project when I got my own tail to cover. I mean, I'm a busy guy, always on the move, gotta keep my eyes on the prize. And the prize ain't no group project, if you know what I mean.",If you don’t join my group I’ll do something naughty
"Look familiar?
Bet it does",:/
Do we have the data science prac today?,"No idea
Are you going to go?"
"Ye
Im just gonna see if we actually have one lol","I’m gonna go to
Does it not say on the module framework?"
Im in class can you check?,I’ve checked but can’t see anything
I take it you’re not going anymore?,Not a chance
"Are you going to datsci today
In the neelsie","Nah I’m not, I’ll start going next week. It’s been a waste of time so far"
"Ye im gonna
Tell me what group number we gonna choose","Okay
Hold on let me log on
We gonna kill this project luke
I swear
I rate group 3?"
I take you’re not coming to class,"Nah lol
At gym now and then gonna do some kaggle at home
Gonna go tmrw though"
Enjoy,"You coming to data science
?"
"Of course
Hold a spot next to you for me babygirl",I’m not going to data science today
"Okay
Thanks for letting me know",When you froze the notebook in data science how do you fix it? Just waiting it out?
"Idk what i did 
I just like closed and reopened the  tried again","https://youtu.be/6GUZXDef2U0?si=rgG9L_cXzdJaZC_4
This videos pretty cool"
"Oo nice
Thanks
Have you thought about the hackathon yet","Yeah I have
Bro I would love to but don’t think I have time to do it
Sorry about that"
Yes and yes,"Surly meet me at the neelsie
By the stairs
I’m almost there"
"Ok
I have math now so give me a sec to walk from class","Ok awesome
Meant to be awe
Awesome works
I’ll sit by the stairs"
Okay,"I’ve gone up
Sitting at the top, more seats"
"Bruh
Oh ","Nah I’m still waiting, just at the top"
Im almost there,Awe
Sorry there was a tracfic jam,Nah no stress
Yo im gonna be at the gym a little later… i just wanna eat something,"this might be dumb question
but how do you test your code
for scanner
im baffeled"
"I appreciate that you assume i know the answer to that question
But I unfortunately dont have the answer
I havent started yet","i recommend starting soon... first hand is in 10 days
and theres a lot to understand"
Yeah ive done my planning and read through the first chapter,like ive been working pretty hard on it today and ive only written like 2 lines of code
"Just need to start cosing
Coding","ohhhhh
fair enough"
"Nicholas
Can i give you a call for like 5 mins",Yea
Idk who tf that is,"Me neither
Seems like a smart name low-key
How’d the project go?"
"Hello
For the ReservedWord array right
Do we HAVE to populate it manually? Or can we make a loop function to populate it…","Just ask chat get to do it
But manually
That’s what I did"
